0 : 989762, 931721, 398306, 63349, 91348, 16429, 931948, 240996, 158759, 678385, 919197, 956733, 463781, 374617, 569837, 871048, 237161, 465294, 806773, 710644, 36139, 564914, 923811, 104122, 732473, 529986, 486457, 394507, 544202, 556209, 221339, 860056, 988166, 882961, 899809, 882946, 59844, 180955, 544275, 930567, 915482, 453447, 368702, 791852, 957845, 171663, 159953, 102903, 2837, 565484, 541845, 391655, 904911, 225116, 478814, 871568, 4009, 224263, 87578, 882, 701919, 619829, 480497, 886222, 49874, 721706, 871066, 779712, 68299, 886630, 843384, 722642, 910119, 3752, 454263, 931632, 2176, 36267, 565814, 568573, 236647, 565419, 746931, 562167, 619660, 893601, 600499, 908244, 562594, 36538, 872728, 455537, 701258, 435345, 695756, 706771, 708177, 561813, 934876, 932085
1 : 987074, 846198, 855176, 862007, 125095, 705714, 888719, 502126, 947005, 496660, 2781, 993635, 253083, 394982, 618740, 730127, 739835, 490751, 913942, 741996, 855295, 908803, 678724, 17970, 915764, 275502, 196686, 704973, 837940, 868337, 411149, 378239, 509041, 850854, 808402, 807790, 913887, 522482, 207435, 123544, 395932, 250884, 974481, 133522, 214501, 956542, 957556, 491737, 598353, 406020, 833086, 250786, 239335, 543219, 14836, 522078, 974930, 826670, 480949, 541805, 122309, 987696, 766416, 538702, 980027, 71819, 731804, 560219, 974985, 833335, 133524, 517238, 976547, 517923, 183334, 980641, 266890, 202612, 948375, 20845, 832927, 987215, 271353, 192537, 208391, 849742, 248426, 833054, 586780, 420802, 941776, 987636, 880462, 942339, 400194, 249062, 880592, 706838, 413071, 413247
2 : 937903, 971815, 310475, 823033, 468824, 762311, 516925, 770558, 331338, 577672, 609891, 55454, 861555, 227807, 295154, 518868, 122220, 560627, 370467, 736271, 929594, 70410, 746345, 960494, 534769, 517105, 669812, 139967, 299884, 829132, 742474, 669801, 370619, 917085, 980997, 606268, 23781, 401475, 533274, 562123, 778663, 227542, 398086, 104121, 889222, 10065, 743053, 575505, 115312, 308135, 322818, 678139, 2707, 529249, 392607, 742644, 762362, 937126, 299398, 30990, 467531, 776491, 609782, 57338, 716686, 534822, 260648, 869379, 695462, 55587, 230295, 736302, 744548, 150588, 678042, 311367, 62269, 778799, 69035, 905339, 401804, 906773, 104247, 306132, 527380, 431595, 900097, 823095, 239766, 402106, 861530, 551743, 406324, 406273, 861882, 551661, 408855, 408462, 408764, 669835
3 : 780591, 886122, 443325, 190642, 885894, 847143, 807831, 190979, 564021, 855019, 13832, 912689, 912148, 502128, 885838, 900638, 867686, 996934, 889094, 14185, 681846, 947002, 443513, 545164, 852240, 930433, 210617, 708739, 960691, 801041, 832895, 889896, 848283, 703398, 994263, 102152, 122827, 681907, 609251, 678788, 768705, 191822, 81147, 190895, 190996, 885710, 192051, 919489, 545926, 546469, 81001, 191169, 956544, 900649, 886001, 545314, 839734, 852354, 443311, 852717, 191161, 941084, 546487, 393121, 857203, 889916, 190795, 190630, 191092, 190999, 967144, 190587, 191905, 190728, 546766, 885741, 914682, 546122, 899013, 546767, 919152, 907380, 993773, 722075, 443320, 855554, 190621, 191317, 190692, 832999, 831905, 207768, 546496, 123985, 546470, 889039, 191115, 48044, 125539, 970797
4 : 240166, 693394, 109870, 313434, 31961, 610628, 242102, 441587, 34537, 306702, 535320, 352135, 280705, 115897, 780441, 292129, 5164, 279725, 279883, 547650, 472001, 694164, 292815, 291948, 259196, 295813, 60607, 720273, 106921, 724160, 713777, 866737, 170547, 123410, 489692, 592673, 264181, 199903, 105778, 322138, 292804, 358802, 953177, 997836, 236863, 293118, 822312, 265906, 201628, 421011, 292963, 662906, 305983, 535022, 292169, 671857, 533494, 112076, 122623, 748799, 101436, 30116, 566738, 495828, 760097, 4719, 278801, 355111, 279095, 110691, 279274, 548521, 279356, 151654, 278744, 108257, 956898, 549359, 81533, 755045, 59308, 79424, 549505, 403978, 807785, 491554, 953387, 175407, 340288, 279082, 368246, 371420, 416604, 107281, 112586, 716433, 175336, 748193, 748397, 340871
5 : 50723, 929646, 106854, 345957, 694189, 4943, 935054, 457615, 457942, 514251, 28960, 250269, 670495, 207212, 207290, 105686, 813939, 501261, 951179, 888753, 425748, 875009, 767710, 225852, 126433, 821288, 530422, 599042, 183814, 520833, 168136, 434396, 222790, 463353, 403958, 185411, 226696, 976161, 564657, 14279, 27206, 209626, 491185, 929813, 930125, 1239, 464669, 947500, 266311, 202033, 463571, 391572, 947153, 670336, 726717, 426436, 404526, 668296, 281457, 172901, 836747, 25763, 275329, 196513, 167626, 207170, 884471, 426199, 489179, 939004, 893231, 221336, 974381, 220026, 895895, 627930, 47504, 462444, 187569, 425904, 690807, 884645, 883854, 884534, 1097, 538844, 947091, 998531, 974597, 682308, 515025, 947299, 669622, 943689, 27746, 896005, 460733, 220473, 67875, 187470
6 : 726241, 629643, 8581, 988960, 142347, 1682, 864289, 751147, 216548, 223613, 844535, 947390, 886772, 629121, 918545, 112891, 210866, 881007, 223504, 628273, 945657, 60556, 749960, 758296, 61197, 482593, 919206, 863602, 248825, 3013, 221426, 842922, 912216, 843782, 757348, 598020, 160084, 891908, 628436, 393441, 565086, 595090, 925875, 921791, 170076, 522402, 996921, 167059, 748249, 565610, 746690, 921139, 683474, 577159, 565415, 923329, 336470, 705074, 160375, 681834, 779317, 541872, 439684, 839672, 877113, 169794, 2456, 706839, 844665, 170274, 522384, 398827, 628383, 16210, 748118, 160422, 670049, 238549, 859484, 522296, 670041, 596912, 667973, 415400, 595438, 872343, 842282, 389891, 598221, 60092, 596714, 982409, 703786, 595673, 511412, 59540, 880346, 652078, 982379, 402219
7 : 56155, 314161, 653776, 747118, 906223, 441060, 796672, 745044, 874617, 151626, 367236, 962573, 558464, 39873, 478652, 46107, 419659, 129944, 819353, 228569, 950313, 928837, 183058, 56999, 53230, 825316, 639916, 994044, 140732, 682785, 57655, 692410, 57636, 599751, 5671, 809598, 172116, 888820, 55283, 429332, 247071, 504466, 3109, 38783, 472169, 153004, 469613, 847345, 637614, 153018, 800663, 866796, 38699, 870732, 619025, 262980, 175989, 768332, 53320, 375418, 388851, 826666, 890779, 344109, 558460, 476618, 258018, 807699, 124488, 50564, 995722, 695955, 55254, 376741, 259387, 280624, 997837, 570259, 994709, 37728, 235792, 258846, 479784, 325150, 255657, 51349, 108097, 5868, 543133, 112942, 5447, 762237, 762217, 476215, 207868, 107468, 569178, 807599, 618842, 906750
8 : 481098, 180141, 963296, 474705, 164055, 306389, 105954, 30391, 723941, 686904, 279955, 315322, 273864, 195048, 530192, 163910, 389392, 376619, 723692, 79518, 599095, 686147, 810241, 389095, 340781, 467265, 320826, 343105, 699682, 690374, 113490, 171817, 162410, 354520, 281770, 278729, 134502, 262609, 384850, 9628, 389108, 770827, 485895, 567762, 519420, 353257, 351719, 121179, 126634, 690655, 719738, 955531, 123484, 337461, 723928, 263889, 724380, 467684, 685550, 810070, 525135, 279800, 344536, 696795, 421656, 358288, 99720, 964785, 322999, 307306, 184534, 175802, 525034, 483442, 184809, 967581, 552019, 106704, 695560, 340986, 115622, 176492, 724022, 678764, 385044, 285272, 100898, 724084, 351923, 724587, 181435, 803977, 695175, 176970, 724549, 323464, 376277, 323160, 325865, 376328
9 : 279883, 178867, 4719, 745882, 560740, 392110, 259196, 516031, 260258, 372961, 292169, 340288, 305719, 4764, 101436, 573146, 391916, 495828, 584541, 371420, 805512, 732354, 313059, 179130, 905053, 252957, 172320, 259881, 278744, 512012, 432653, 547839, 294281, 514893, 511892, 427012, 924659, 364724, 356043, 611164, 771950, 271619, 192803, 314657, 432648, 724160, 635097, 521119, 421169, 171008, 883543, 159154, 746863, 732351, 612270, 324445, 291945, 253710, 549359, 669381, 175407, 610628, 182520, 956762, 244946, 671857, 278883, 466909, 535022, 748193, 278861, 548521, 610681, 514230, 151491, 261319, 279082, 748397, 514258, 495449, 172219, 322138, 271832, 193016, 660288, 292077, 236863, 581962, 279356, 153488, 866737, 803100, 358802, 716433, 807785, 821938, 181605, 181997, 177646, 178811
