0 : 872728, 455537, 701258, 435345, 695756, 706771, 708177, 561813, 934876, 932085
1 : 941776, 987636, 880462, 942339, 400194, 249062, 880592, 706838, 413071, 413247
2 : 861530, 551743, 406324, 406273, 861882, 551661, 408855, 408462, 408764, 669835
3 : 831905, 207768, 546496, 123985, 546470, 889039, 191115, 48044, 125539, 970797
4 : 368246, 371420, 416604, 107281, 112586, 716433, 175336, 748193, 748397, 340871
5 : 515025, 947299, 669622, 943689, 27746, 896005, 460733, 220473, 67875, 187470
6 : 596714, 982409, 703786, 595673, 511412, 59540, 880346, 652078, 982379, 402219
7 : 5447, 762237, 762217, 476215, 207868, 107468, 569178, 807599, 618842, 906750
8 : 181435, 803977, 695175, 176970, 724549, 323464, 376277, 323160, 325865, 376328
9 : 866737, 803100, 358802, 716433, 807785, 821938, 181605, 181997, 177646, 178811
10 : 180642, 807092, 988918, 432201, 806980, 753170, 297239, 992617, 320547, 316210
11 : 923610, 910776, 609704, 609725, 824098, 689860, 672308, 824256, 762035, 4697
12 : 224306, 564042, 564079, 13183, 191546, 564008, 931688, 923810, 563997, 390776
13 : 990875, 861121, 522080, 868867, 988161, 565610, 795468, 596084, 134090, 522078
14 : 409300, 409216, 433429, 562875, 562464, 482225, 563664, 368880, 601274, 454220
15 : 234721, 502068, 806446, 43943, 106809, 332655, 918194, 969865, 409722, 970094
16 : 352400, 563318, 685252, 511690, 217222, 426178, 23370, 798456, 796217, 796844
17 : 481816, 862676, 862392, 865734, 579505, 803788, 724211, 117181, 882972, 394163
18 : 126762, 122907, 897908, 701657, 635668, 466326, 170737, 25262, 434884, 247250
19 : 629123, 226575, 905999, 868610, 921304, 394974, 258797, 272436, 193620, 222535
20 : 448233, 481713, 928637, 860624, 541161, 601801, 82246, 929092, 666481, 587404
21 : 566609, 337194, 234950, 214475, 214449, 30046, 105025, 440896, 4457, 4490
22 : 482791, 633279, 281276, 483146, 4784, 558357, 4957, 426465, 68360, 31629
23 : 290169, 176512, 219735, 526788, 452900, 931784, 452484, 363583, 686808, 364790
24 : 292781, 188771, 279275, 242430, 4623, 279489, 784790, 804007, 4554, 4630
25 : 465858, 814205, 292181, 514508, 514619, 381318, 814403, 292469, 87978, 719083
26 : 515955, 9899, 321539, 514206, 475114, 910741, 525190, 10021, 426756, 426883
27 : 176295, 717127, 176129, 291938, 363739, 278725, 955277, 5963, 955290, 291918
28 : 571604, 515173, 103965, 678649, 724824, 905060, 210568, 678265, 422521, 725057
29 : 715416, 638091, 678014, 640564, 792959, 793183, 556974, 555280, 555262, 5453
30 : 736536, 599948, 140175, 826344, 551649, 172473, 528396, 825845, 540700, 534527
31 : 749867, 401938, 703702, 401031, 401179, 4870, 5330, 4962, 4995, 5559
32 : 724669, 502522, 684695, 787559, 133114, 497454, 70085, 69173, 330332, 5300
33 : 646457, 100515, 39929, 615911, 676649, 996246, 994880, 676916, 994843, 995079
34 : 68317, 707409, 364021, 845487, 238380, 364563, 188171, 540894, 154168, 149480
35 : 15970, 393434, 641127, 791495, 76102, 392768, 845383, 6707, 5866, 5841
36 : 685009, 72336, 580180, 707838, 316027, 72420, 76101, 6708, 5867, 5842
37 : 190336, 441231, 4997, 745448, 925739, 107024, 33766, 808138, 35716, 5184
38 : 173565, 160369, 284610, 137232, 978240, 5341, 6187, 5177, 5500, 5023
39 : 23749, 458649, 689683, 869342, 587405, 415493, 690413, 750411, 477601, 720244
40 : 379937, 632378, 736313, 474658, 678598, 5163, 5214, 4867, 4773, 8307
41 : 779153, 877285, 924202, 832734, 807850, 304642, 543266, 995354, 950473, 672663
42 : 325817, 112971, 176619, 106646, 684403, 356305, 280744, 312344, 279441, 353533
43 : 178109, 113009, 700737, 903061, 695647, 323021, 698380, 698353, 5144, 6302
44 : 734963, 746174, 994393, 669498, 477668, 379564, 754136, 477919, 740214, 754244
45 : 827163, 482497, 826999, 21980, 780322, 339933, 175843, 103857, 341048, 339510
46 : 535790, 369606, 478548, 289779, 998162, 417152, 997994, 750523, 657906, 5880
47 : 129673, 5641, 389019, 138708, 866052, 395011, 112116, 575286, 88744, 676288
48 : 68544, 533961, 287220, 151506, 151236, 151333, 122253, 5750, 104988, 5213
