0 : 541845, 391655, 904911, 225116, 478814, 871568, 4009, 224263, 87578, 882, 701919, 619829, 480497, 886222, 49874, 721706, 871066, 779712, 68299, 886630, 843384, 722642, 910119, 3752, 454263, 931632, 2176, 36267, 565814, 568573, 236647, 565419, 746931, 562167, 619660, 893601, 600499, 908244, 562594, 36538, 872728, 455537, 701258, 435345, 695756, 706771, 708177, 561813, 934876, 932085
1 : 833086, 250786, 239335, 543219, 14836, 522078, 974930, 826670, 480949, 541805, 122309, 987696, 766416, 538702, 980027, 71819, 731804, 560219, 974985, 833335, 133524, 517238, 976547, 517923, 183334, 980641, 266890, 202612, 948375, 20845, 832927, 987215, 271353, 192537, 208391, 849742, 248426, 833054, 586780, 420802, 941776, 987636, 880462, 942339, 400194, 249062, 880592, 706838, 413071, 413247
2 : 322818, 678139, 2707, 529249, 392607, 742644, 762362, 937126, 299398, 30990, 467531, 776491, 609782, 57338, 716686, 534822, 260648, 869379, 695462, 55587, 230295, 736302, 744548, 150588, 678042, 311367, 62269, 778799, 69035, 905339, 401804, 906773, 104247, 306132, 527380, 431595, 900097, 823095, 239766, 402106, 861530, 551743, 406324, 406273, 861882, 551661, 408855, 408462, 408764, 669835
3 : 81001, 191169, 956544, 900649, 886001, 545314, 839734, 852354, 443311, 852717, 191161, 941084, 546487, 393121, 857203, 889916, 190795, 190630, 191092, 190999, 967144, 190587, 191905, 190728, 546766, 885741, 914682, 546122, 899013, 546767, 919152, 907380, 993773, 722075, 443320, 855554, 190621, 191317, 190692, 832999, 831905, 207768, 546496, 123985, 546470, 889039, 191115, 48044, 125539, 970797
4 : 292963, 662906, 305983, 535022, 292169, 671857, 533494, 112076, 122623, 748799, 101436, 30116, 566738, 495828, 760097, 4719, 278801, 355111, 279095, 110691, 279274, 548521, 279356, 151654, 278744, 108257, 956898, 549359, 81533, 755045, 59308, 79424, 549505, 403978, 807785, 491554, 953387, 175407, 340288, 279082, 368246, 371420, 416604, 107281, 112586, 716433, 175336, 748193, 748397, 340871
5 : 463571, 391572, 947153, 670336, 726717, 426436, 404526, 668296, 281457, 172901, 836747, 25763, 275329, 196513, 167626, 207170, 884471, 426199, 489179, 939004, 893231, 221336, 974381, 220026, 895895, 627930, 47504, 462444, 187569, 425904, 690807, 884645, 883854, 884534, 1097, 538844, 947091, 998531, 974597, 682308, 515025, 947299, 669622, 943689, 27746, 896005, 460733, 220473, 67875, 187470
6 : 746690, 921139, 683474, 577159, 565415, 923329, 336470, 705074, 160375, 681834, 779317, 541872, 439684, 839672, 877113, 169794, 2456, 706839, 844665, 170274, 522384, 398827, 628383, 16210, 748118, 160422, 670049, 238549, 859484, 522296, 670041, 596912, 667973, 415400, 595438, 872343, 842282, 389891, 598221, 60092, 596714, 982409, 703786, 595673, 511412, 59540, 880346, 652078, 982379, 402219
7 : 800663, 866796, 38699, 870732, 619025, 262980, 175989, 768332, 53320, 375418, 388851, 826666, 890779, 344109, 558460, 476618, 258018, 807699, 124488, 50564, 995722, 695955, 55254, 376741, 259387, 280624, 997837, 570259, 994709, 37728, 235792, 258846, 479784, 325150, 255657, 51349, 108097, 5868, 543133, 112942, 5447, 762237, 762217, 476215, 207868, 107468, 569178, 807599, 618842, 906750
8 : 719738, 955531, 123484, 337461, 723928, 263889, 724380, 467684, 685550, 810070, 525135, 279800, 344536, 696795, 421656, 358288, 99720, 964785, 322999, 307306, 184534, 175802, 525034, 483442, 184809, 967581, 552019, 106704, 695560, 340986, 115622, 176492, 724022, 678764, 385044, 285272, 100898, 724084, 351923, 724587, 181435, 803977, 695175, 176970, 724549, 323464, 376277, 323160, 325865, 376328
9 : 883543, 159154, 746863, 732351, 612270, 324445, 291945, 253710, 549359, 669381, 175407, 610628, 182520, 956762, 244946, 671857, 278883, 466909, 535022, 748193, 278861, 548521, 610681, 514230, 151491, 261319, 279082, 748397, 514258, 495449, 172219, 322138, 271832, 193016, 660288, 292077, 236863, 581962, 279356, 153488, 866737, 803100, 358802, 716433, 807785, 821938, 181605, 181997, 177646, 178811
10 : 366974, 752817, 169528, 179253, 904681, 523802, 300398, 880356, 298169, 930391, 209723, 312110, 949727, 291302, 316441, 425926, 22110, 430058, 63826, 841174, 493081, 426123, 169992, 711949, 689997, 929720, 490546, 169289, 166533, 330988, 298307, 619270, 433270, 794096, 180396, 794244, 98601, 288718, 289370, 703494, 180642, 807092, 988918, 432201, 806980, 753170, 297239, 992617, 320547, 316210
11 : 923225, 852385, 151376, 673489, 143971, 825763, 315452, 469133, 168473, 762025, 141531, 625928, 770990, 69850, 130733, 964908, 390146, 237405, 826041, 390147, 799350, 910799, 609801, 753346, 810088, 313295, 806212, 237923, 852753, 684490, 469120, 257002, 814743, 4762, 806141, 969214, 730316, 99133, 469274, 923824, 923610, 910776, 609704, 609725, 824098, 689860, 672308, 824256, 762035, 4697
12 : 378008, 868704, 724917, 706804, 561467, 635998, 670137, 963040, 855040, 826569, 957511, 843137, 677878, 595638, 670437, 265794, 201516, 725111, 919423, 932968, 16439, 563093, 746930, 15266, 14819, 730999, 911255, 756088, 798973, 886629, 216184, 49919, 60576, 696683, 857201, 518898, 878854, 99745, 670225, 725107, 224306, 564042, 564079, 13183, 191546, 564008, 931688, 923810, 563997, 390776
